id,title,city,country,company,size_of_company,company_field,date_of_publication,number_of_applicants,type_of_employment,skills,vacancy
545,Business Analyst Junior,Clichy,France,BURGER KING® FRANCE,"10,001+",Restaurants,2023-05-02,147.0,On-site,business analysis,business analyst
545,Business Analyst Junior,Clichy,France,BURGER KING® FRANCE,"10,001+",Restaurants,2023-05-02,147.0,On-site,powerpoint,business analyst
546,Data Scientist,,Italy,Growens,201-500,Software Development,2023-05-09,217.0,Remote,ml,data scientist
546,Data Scientist,,Italy,Growens,201-500,Software Development,2023-05-09,217.0,Remote,powerbi,data scientist
546,Data Scientist,,Italy,Growens,201-500,Software Development,2023-05-09,217.0,Remote, r ,data scientist
546,Data Scientist,,Italy,Growens,201-500,Software Development,2023-05-09,217.0,Remote,spotfire,data scientist
546,Data Scientist,,Italy,Growens,201-500,Software Development,2023-05-09,217.0,Remote,statistics,data scientist
546,Data Scientist,,Italy,Growens,201-500,Software Development,2023-05-09,217.0,Remote,python,data scientist
546,Data Scientist,,Italy,Growens,201-500,Software Development,2023-05-09,217.0,Remote,английский язык,data scientist
547,Business Intelligence Developer,Milan,Italy,Avvale,"1,001-5,000",IT Services and IT Consulting,2023-05-16,82.0,Hybrid,power bi,business analyst
547,Business Intelligence Developer,Milan,Italy,Avvale,"1,001-5,000",IT Services and IT Consulting,2023-05-16,82.0,Hybrid,qlik,business analyst
548,Digital Analytics & Engagement Expert,Athens,Greece,OPAP,"1,001-5,000",Entertainment Providers,2023-05-09,46.0,Hybrid,a/b testing,analyst
548,Digital Analytics & Engagement Expert,Athens,Greece,OPAP,"1,001-5,000",Entertainment Providers,2023-05-09,46.0,Hybrid,adobe analytics,analyst
548,Digital Analytics & Engagement Expert,Athens,Greece,OPAP,"1,001-5,000",Entertainment Providers,2023-05-09,46.0,Hybrid,data studio,analyst
548,Digital Analytics & Engagement Expert,Athens,Greece,OPAP,"1,001-5,000",Entertainment Providers,2023-05-09,46.0,Hybrid,mixpanel,analyst
548,Digital Analytics & Engagement Expert,Athens,Greece,OPAP,"1,001-5,000",Entertainment Providers,2023-05-09,46.0,Hybrid,powerbi,analyst
548,Digital Analytics & Engagement Expert,Athens,Greece,OPAP,"1,001-5,000",Entertainment Providers,2023-05-09,46.0,Hybrid,statistics,analyst
548,Digital Analytics & Engagement Expert,Athens,Greece,OPAP,"1,001-5,000",Entertainment Providers,2023-05-09,46.0,Hybrid,tableau,analyst
548,Digital Analytics & Engagement Expert,Athens,Greece,OPAP,"1,001-5,000",Entertainment Providers,2023-05-09,46.0,Hybrid,a/b тестирование,analyst
548,Digital Analytics & Engagement Expert,Athens,Greece,OPAP,"1,001-5,000",Entertainment Providers,2023-05-09,46.0,Hybrid,google analytics,analyst
549,SENIOR BUSINESS REPORTING SPECIALIST,Riga,Latvia,Circle K,"10,001+",Retail,2023-05-16,11.0,,power bi,другое
549,SENIOR BUSINESS REPORTING SPECIALIST,Riga,Latvia,Circle K,"10,001+",Retail,2023-05-16,11.0,,python,другое
549,SENIOR BUSINESS REPORTING SPECIALIST,Riga,Latvia,Circle K,"10,001+",Retail,2023-05-16,11.0,,qlik,другое
