id,title,city,country,company,size_of_company,company_field,date_of_publication,number_of_applicants,type_of_employment,skills,vacancy
509,DATA ANALYST IT,Vila Nova de Cerveira,Portugal,Potenzia Consultores,1-10,Staffing & Recruiting,2023-05-23,17.0,On-site,sql,data analyst
510,Business Intelligence Developer,Campodarsego,Italy,Maschio Gaspardo Group,"1,001-5,000",Machinery Manufacturing,2023-05-22,15.0,On-site,sap,business analyst
510,Business Intelligence Developer,Campodarsego,Italy,Maschio Gaspardo Group,"1,001-5,000",Machinery Manufacturing,2023-05-22,15.0,On-site,английский язык,business analyst
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,bigquery,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,data warehouse,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,dataiku,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,looker,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,power bi,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,redshift,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,snowflake,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,sql,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,streamlit,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,tableau,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,коммуникабельность,другое
511,BI Developer,Toulouse,France,Pictarine,11-50,Printing Services,2023-05-22,49.0,Hybrid,анализ данных,другое
512,Business Intelligence Developer,Bonn,Germany,DHL Freight,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-09,61.0,Hybrid,elt,business analyst
512,Business Intelligence Developer,Bonn,Germany,DHL Freight,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-09,61.0,Hybrid,etl,business analyst
512,Business Intelligence Developer,Bonn,Germany,DHL Freight,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-09,61.0,Hybrid,oracle,business analyst
512,Business Intelligence Developer,Bonn,Germany,DHL Freight,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-09,61.0,Hybrid,oracle business intelligence,business analyst
512,Business Intelligence Developer,Bonn,Germany,DHL Freight,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-09,61.0,Hybrid,sql,business analyst
512,Business Intelligence Developer,Bonn,Germany,DHL Freight,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-09,61.0,Hybrid,obiee,business analyst
513,"Data Analyst, SQL/SSIS {Finance",Hertfordshire,United Kingdom,Ernest Gordon Recruitment,11-50,Staffing and Recruiting,2023-05-17,11.0,Hybrid,power bi,data analyst
513,"Data Analyst, SQL/SSIS {Finance",Hertfordshire,United Kingdom,Ernest Gordon Recruitment,11-50,Staffing and Recruiting,2023-05-17,11.0,Hybrid,sql,data analyst
513,"Data Analyst, SQL/SSIS {Finance",Hertfordshire,United Kingdom,Ernest Gordon Recruitment,11-50,Staffing and Recruiting,2023-05-17,11.0,Hybrid,ssis,data analyst
514,Policy Analyst,Paris,France,OECD - OCDE,"1,001-5,000",International Affairs,2023-05-09,242.0,On-site,statistics,analyst
514,Policy Analyst,Paris,France,OECD - OCDE,"1,001-5,000",International Affairs,2023-05-09,242.0,On-site,французский язык,analyst
514,Policy Analyst,Paris,France,OECD - OCDE,"1,001-5,000",International Affairs,2023-05-09,242.0,On-site,аналитические навыки,analyst
515,Composiet medewerker,Lelystad,Netherlands,Stratos Yacht,1-10,Shipbuilding,2023-05-02,2.0,On-site,композиты,другое
515,Composiet medewerker,Lelystad,Netherlands,Stratos Yacht,1-10,Shipbuilding,2023-05-02,2.0,On-site,baan erp,другое
516,Performance Engineer,Faenza,Italy,Scuderia AlphaTauri F1 Team,"501-1,000",Spectator Sports,2023-05-16,244.0,On-site,анализ данных,другое
516,Performance Engineer,Faenza,Italy,Scuderia AlphaTauri F1 Team,"501-1,000",Spectator Sports,2023-05-16,244.0,On-site,английский язык,другое
517,Web Analyst F/H en CDI,Issy-les-Moulineaux,France,Picard Surgelés,"1,001-5,000",Food and Beverage Manufacturing,2023-04-25,132.0,Hybrid,data studio,web analyst
517,Web Analyst F/H en CDI,Issy-les-Moulineaux,France,Picard Surgelés,"1,001-5,000",Food and Beverage Manufacturing,2023-04-25,132.0,Hybrid,google tag manager,web analyst
517,Web Analyst F/H en CDI,Issy-les-Moulineaux,France,Picard Surgelés,"1,001-5,000",Food and Beverage Manufacturing,2023-04-25,132.0,Hybrid,организаторские навыки,web analyst
517,Web Analyst F/H en CDI,Issy-les-Moulineaux,France,Picard Surgelés,"1,001-5,000",Food and Beverage Manufacturing,2023-04-25,132.0,Hybrid,priority management,web analyst
518,Data Scientist,Athens,Greece,Alpha Bank,"10,001+",Banking,2023-05-16,223.0,Hybrid,nlp,data scientist
518,Data Scientist,Athens,Greece,Alpha Bank,"10,001+",Banking,2023-05-16,223.0,Hybrid,spss,data scientist
518,Data Scientist,Athens,Greece,Alpha Bank,"10,001+",Banking,2023-05-16,223.0,Hybrid,statistics,data scientist
518,Data Scientist,Athens,Greece,Alpha Bank,"10,001+",Banking,2023-05-16,223.0,Hybrid,python,data scientist
518,Data Scientist,Athens,Greece,Alpha Bank,"10,001+",Banking,2023-05-16,223.0,Hybrid,компьютерная наука,data scientist
519,Data Analyst - Milano,Arluno,Italy,CPM Italy,51-200,Retail,2023-05-09,,Hybrid,dashboard,data analyst
519,Data Analyst - Milano,Arluno,Italy,CPM Italy,51-200,Retail,2023-05-09,,Hybrid,excel,data analyst
519,Data Analyst - Milano,Arluno,Italy,CPM Italy,51-200,Retail,2023-05-09,,Hybrid,аналитические навыки,data analyst
