,target
0,0.5789473684210527
1,0.4888888888888889
2,0.18604651162790697
3,0.6923076923076923
4,0.10185185185185185
5,0.5
6,0.39285714285714285
7,1.0
8,0.7272727272727273
9,0.2
10,0.22875816993464052
11,0.1590909090909091
12,0.4523809523809524
13,0.2631578947368421
14,0.058823529411764705
15,0.21
16,0.2571428571428571
17,0.20833333333333334
18,0.16666666666666666
19,0.3125
20,0.25
21,0.21428571428571427
22,0.14285714285714285
23,0.631578947368421
24,0.2
25,0.21739130434782608
26,0.375
27,0.5454545454545454
28,0.23809523809523808
29,0.6136363636363636
30,0.23728813559322035
31,0.3333333333333333
32,0.21428571428571427
33,0.011111111111111112
34,0.15151515151515152
35,0.6111111111111112
36,1.0
37,0.23529411764705882
38,0.23076923076923078
39,0.5217391304347826
40,0.13333333333333333
41,0.012658227848101266
42,0.5
43,0.55
44,0.25
45,0.36666666666666664
46,0.2909090909090909
47,0.3333333333333333
48,0.125
49,0.7333333333333333
50,0.13953488372093023
51,0.3142857142857143
52,0.16666666666666666
53,1.0
54,0.13333333333333333
55,0.14285714285714285
56,0.45454545454545453
57,0.02631578947368421
58,0.046296296296296294
59,0.03333333333333333
60,0.2608695652173913
61,0.21052631578947367
62,0.44
63,0.3
64,0.2716049382716049
65,0.32
66,0.015789473684210527
67,0.29411764705882354
68,0.40816326530612246
69,0.3076923076923077
70,0.5217391304347826
71,0.6111111111111112
72,0.375
73,0.7096774193548387
74,0.5
75,0.6126760563380281
76,0.3194444444444444
77,0.1875
78,0.0759493670886076
79,0.05555555555555555
80,0.42857142857142855
81,0.0673076923076923
82,0.42857142857142855
83,0.029197080291970802
84,0.3684210526315789
85,0.08695652173913043
86,0.18055555555555555
87,0.7142857142857143
88,0.15217391304347827
89,0.25
90,0.023255813953488372
91,0.71875
92,0.14035087719298245
93,0.24561403508771928
94,0.2702702702702703
95,0.08163265306122448
96,0.22641509433962265
97,0.10236220472440945
98,0.08974358974358974
99,0.5
100,0.23333333333333334
101,0.25
102,0.2222222222222222
103,0.6216216216216216
104,0.2706766917293233
105,0.2549019607843137
106,0.3333333333333333
107,0.15384615384615385
108,0.16666666666666666
109,0.15384615384615385
110,0.25
111,0.2698412698412698
112,0.7142857142857143
113,0.11538461538461539
114,0.39655172413793105
115,0.5652173913043478
116,0.05813953488372093
117,0.2
118,0.4146341463414634
119,0.10256410256410256
120,0.4
121,0.6666666666666666
122,0.24324324324324326
123,0.14814814814814814
124,0.32142857142857145
125,0.6
126,0.5714285714285714
127,0.1111111111111111
128,0.6037735849056604
129,0.07142857142857142
130,0.6451612903225806
131,0.42857142857142855
132,0.42424242424242425
133,0.18181818181818182
134,0.4307692307692308
135,0.05194805194805195
136,0.4222222222222222
137,0.24242424242424243
138,0.4
139,0.5263157894736842
140,0.10526315789473684
141,0.1935483870967742
142,0.7142857142857143
143,0.26
144,0.2398190045248869
145,0.06451612903225806
146,0.2
147,0.3
148,0.46938775510204084
149,0.22033898305084745
150,0.13541666666666666
151,0.12811387900355872
152,0.16071428571428573
153,0.6538461538461539
154,0.5806451612903226
155,0.10294117647058823
156,0.43243243243243246
157,0.18181818181818182
158,0.4827586206896552
159,1.0
160,0.22857142857142856
161,0.4444444444444444
162,0.3888888888888889
163,0.1935483870967742
164,0.46153846153846156
165,0.10344827586206896
166,0.15517241379310345
167,0.5454545454545454
168,0.1595744680851064
169,0.5645161290322581
170,0.5714285714285714
171,0.3230769230769231
172,0.25
173,0.47368421052631576
174,0.4594594594594595
175,0.43478260869565216
176,0.5428571428571428
177,0.3888888888888889
178,0.019417475728155338
179,0.4642857142857143
180,0.1111111111111111
181,0.40476190476190477
182,0.25
183,0.3333333333333333
184,0.23076923076923078
185,0.030303030303030304
186,0.11678832116788321
187,0.5365853658536586
188,0.5
189,0.2
190,0.1875
191,1.0
192,0.21621621621621623
193,0.1111111111111111
194,0.3333333333333333
195,0.5862068965517241
196,0.14285714285714285
197,0.2
198,0.6923076923076923
199,0.5
200,0.054878048780487805
201,0.22857142857142856
202,0.15384615384615385
203,0.65
204,0.2608695652173913
205,0.5294117647058824
206,0.5
207,0.38095238095238093
208,0.1
209,0.1
210,0.5172413793103449
211,0.4
212,0.7142857142857143
213,0.014492753623188406
214,0.5652173913043478
215,0.4375
216,0.25
217,0.09375
218,0.3684210526315789
219,0.23076923076923078
220,0.08108108108108109
221,0.38461538461538464
222,0.08333333333333333
223,0.23076923076923078
224,0.09302325581395349
225,0.7
226,0.2727272727272727
227,0.3424657534246575
228,0.22413793103448276
229,0.19230769230769232
230,0.21739130434782608
231,0.19230769230769232
232,0.6
233,0.18518518518518517
234,0.5185185185185185
235,0.5714285714285714
236,0.06779661016949153
237,0.38095238095238093
238,0.08333333333333333
239,0.25
240,0.05434782608695652
241,0.5714285714285714
242,0.34234234234234234
243,0.56
244,0.30434782608695654
245,0.14285714285714285
246,0.3076923076923077
247,0.7428571428571429
248,0.5714285714285714
249,0.5714285714285714
250,0.22857142857142856
251,0.2708333333333333
252,0.34782608695652173
253,0.14583333333333334
254,0.75
255,0.6428571428571429
256,0.08333333333333333
257,0.75
258,0.14285714285714285
259,0.14516129032258066
260,0.5416666666666666
261,0.7058823529411765
262,0.5
263,0.6296296296296297
264,0.21428571428571427
265,0.3170731707317073
266,1.0
267,0.5952380952380952
268,0.14893617021276595
269,0.425531914893617
270,0.6808510638297872
271,0.5294117647058824
272,0.6
273,0.3333333333333333
274,0.30434782608695654
275,0.30303030303030304
276,0.6129032258064516
277,0.5
278,0.2777777777777778
279,0.2727272727272727
280,0.47619047619047616
281,0.40350877192982454
282,0.2608695652173913
283,0.5655430711610487
284,0.047619047619047616
285,0.2857142857142857
